filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,‰æ‘œƒTƒCƒY,35mmŠ·ŽZ,—j“ú,“ú•t,ŽžŠÔ‘Ñ,happy_tf,male_tf,distance,—j“ú_tf
DSC08983-20191130,3,49,male,0,0.003,0,0,0,0.829,0.168,0,35.66070611,139.6989503,63,36,“y,2019/11/30,2,0,1,15.455,1
DSC08983-20191130,4,22,male,0,0,0,0,0.065,0.935,0,0,35.66070611,139.6989503,60,36,“y,2019/11/30,2,0,1,16.226,1
DSC08983-20191130,5,23,male,0,0,0,0,0.002,0.981,0.001,0.015,35.66070611,139.6989503,56,36,“y,2019/11/30,2,0,1,17.382,1
DSC08983-20191130,9,21,male,0,0,0,0,0.002,0.986,0.001,0.011,35.66070611,139.6989503,49,36,“y,2019/11/30,2,0,1,19.86,1
DSC08984-20191130,1,21,male,0,0,0,0,0,0.999,0.001,0,35.66077806,139.6988992,155,36,“y,2019/11/30,2,0,1,6.303,1
DSC08985-20191130,5,24,male,0,0.005,0.001,0,0.98,0.013,0.001,0,35.66082917,139.698745,67,36,“y,2019/11/30,2,1,1,14.535,1
DSC08985-20191130,6,19,male,0,0,0,0,0,0.987,0.002,0.011,35.66082917,139.698745,63,36,“y,2019/11/30,2,0,1,15.455,1
DSC08986-20191130,1,26,male,0,0,0,0,0,0.998,0.001,0,35.66057689,139.6986362,106,36,“y,2019/11/30,2,0,1,9.2,1
DSC08986-20191130,3,28,male,0,0,0,0,0.624,0.376,0,0,35.66057689,139.6986362,61,36,“y,2019/11/30,2,1,1,15.961,1
DSC08986-20191130,6,27,male,0,0,0,0,0.005,0.995,0,0,35.66057689,139.6986362,42,36,“y,2019/11/30,2,0,1,23.165,1
DSC08987-20191130,3,51,male,0,0.001,0,0,0,0.97,0.029,0,35.66048945,139.6985653,115,36,“y,2019/11/30,2,0,1,8.483,1
DSC08987-20191130,5,31,male,0,0,0,0,0.001,0.998,0.001,0,35.66048945,139.6985653,80,36,“y,2019/11/30,2,0,1,12.179,1
DSC08988-20191130,1,24,male,0,0.001,0,0,0.721,0.278,0,0,35.66036832,139.6985191,183,36,“y,2019/11/30,2,1,1,5.344,1
DSC08988-20191130,4,27,male,0,0,0,0,0.068,0.928,0.002,0.001,35.66036832,139.6985191,111,36,“y,2019/11/30,2,0,1,8.787,1
DSC08988-20191130,5,24,male,0.006,0,0.004,0.001,0.47,0.263,0.254,0.001,35.66036832,139.6985191,104,36,“y,2019/11/30,2,1,1,9.376,1
DSC08988-20191130,9,31,male,0,0,0,0,0.001,0.998,0.001,0,35.66036832,139.6985191,47,36,“y,2019/11/30,2,0,1,20.704,1
DSC08989-20191130,4,21,male,0.002,0,0,0.002,0,0.81,0,0.186,35.66016722,139.6984481,67,36,“y,2019/11/30,2,0,1,14.535,1
DSC08990-20191130,2,32,male,0.002,0,0,0,0,0.996,0,0.002,35.66011308,139.6982482,254,36,“y,2019/11/30,2,0,1,3.86,1
DSC08990-20191130,3,24,male,0,0,0,0,0,0.999,0,0.001,35.66011308,139.6982482,150,36,“y,2019/11/30,2,0,1,6.512,1
DSC08990-20191130,4,33,male,0.001,0,0.001,0.001,0,0.974,0.006,0.017,35.66011308,139.6982482,117,36,“y,2019/11/30,2,0,1,8.339,1
DSC08991-20191130,2,33,male,0,0.007,0,0,0.073,0.919,0.001,0,35.66012972,139.6980667,177,36,“y,2019/11/30,2,0,1,5.524,1
DSC08991-20191130,3,36,male,0,0,0,0,0,0.988,0.012,0,35.66012972,139.6980667,164,36,“y,2019/11/30,2,0,1,5.959,1
DSC08991-20191130,8,19,male,0,0,0,0,0,0.999,0,0.001,35.66012972,139.6980667,49,36,“y,2019/11/30,2,0,1,19.86,1
DSC08992-20191130,1,24,male,0,0.002,0,0,0.011,0.987,0,0,35.66016389,139.6978983,279,36,“y,2019/11/30,2,0,1,3.518,1
DSC08992-20191130,4,23,male,0,0,0,0,0.93,0.069,0.001,0,35.66016389,139.6978983,98,36,“y,2019/11/30,2,1,1,9.948,1
DSC08992-20191130,5,19,male,0,0,0,0,0,0.983,0.017,0,35.66016389,139.6978983,93,36,“y,2019/11/30,2,0,1,10.481,1
DSC08992-20191130,6,25,male,0,0,0,0.002,0.001,0.947,0.004,0.046,35.66016389,139.6978983,79,36,“y,2019/11/30,2,0,1,12.332,1
DSC08993-20191130,1,26,male,0,0,0,0,0.003,0.954,0.001,0.041,35.66021619,139.6979252,167,36,“y,2019/11/30,2,0,1,5.853,1
DSC08993-20191130,2,46,male,0,0,0,0,0,0.997,0.003,0,35.66021619,139.6979252,112,36,“y,2019/11/30,2,0,1,8.709,1
DSC08993-20191130,3,33,male,0,0,0,0,0.004,0.995,0.001,0,35.66021619,139.6979252,80,36,“y,2019/11/30,2,0,1,12.179,1
DSC08994-20191130,1,42,male,0,0,0,0,0,0.965,0.035,0,35.66033561,139.6976368,479,36,“y,2019/11/30,2,0,1,2.064,1
DSC08994-20191130,4,19,male,0,0,0,0.001,0,0.752,0,0.247,35.66033561,139.6976368,132,36,“y,2019/11/30,2,0,1,7.395,1
DSC08995-20191130,1,24,male,0,0,0,0,0,1,0,0,35.66045837,139.6975569,176,36,“y,2019/11/30,2,0,1,5.555,1
DSC08995-20191130,3,24,male,0.006,0.002,0,0.001,0,0.966,0.024,0.001,35.66045837,139.6975569,139,36,“y,2019/11/30,2,0,1,7.024,1
DSC08995-20191130,4,21,male,0,0,0,0,0,1,0,0,35.66045837,139.6975569,126,36,“y,2019/11/30,2,0,1,7.746,1
DSC08996-20191130,1,30,male,0.001,0,0,0,0,0.996,0,0.002,35.66058007,139.697643,82,36,“y,2019/11/30,2,0,1,11.882,1
DSC08997-20191130,1,28,male,0,0.002,0,0,0.356,0.638,0.004,0.001,35.66081316,139.6978331,333,36,“y,2019/11/30,2,0,1,2.953,1
DSC08997-20191130,4,51,male,0.001,0,0,0,0.001,0.994,0.002,0.001,35.66081316,139.6978331,71,36,“y,2019/11/30,2,0,1,13.718,1
DSC08997-20191130,5,25,male,0,0,0,0,0.999,0,0,0,35.66081316,139.6978331,49,36,“y,2019/11/30,2,1,1,19.86,1
DSC08998-20191130,1,23,male,0,0.004,0.007,0,0.858,0.131,0,0,35.66106027,139.697883,166,36,“y,2019/11/30,2,1,1,5.888,1
