filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,distance,èÍèä
DSD06712-1221,5,46,female,0,0,0,0,0,0.991,0.004,0.004,35.73572285,139.7348341,46,35,ìy,2019/12/21,2,0,0,19.53862319,4
DSD06712-1221,6,31,female,0,0,0,0,0.001,0.972,0.026,0,35.73572285,139.7348341,42,35,ìy,2019/12/21,2,0,0,21.39611111,4
DSD06713-1221,1,51,male,0,0,0,0,0,0.997,0.003,0,35.73580884,139.7347206,168,35,ìy,2019/12/21,2,1,0,5.656527778,4
DSD06713-1221,2,58,male,0,0,0,0,0,0.997,0.002,0,35.73580884,139.7347206,59,35,ìy,2019/12/21,2,1,0,16.04206215,4
DSD06713-1221,3,54,female,0,0,0,0,0.004,0.99,0.001,0.004,35.73580884,139.7347206,50,35,ìy,2019/12/21,2,0,0,17.97833333,4
DSD06713-1221,4,31,female,0,0,0,0,0.434,0.562,0.001,0.002,35.73580884,139.7347206,39,35,ìy,2019/12/21,2,0,0,23.0392735,4
DSD06714-1221,1,55,female,0,0,0,0,0,0.81,0.189,0,35.73592299,139.7345493,182,35,ìy,2019/12/21,2,0,0,4.964487179,4
DSD06714-1221,2,21,female,0,0,0,0,0.999,0.001,0,0,35.73592299,139.7345493,80,35,ìy,2019/12/21,2,0,1,11.24958333,4
DSD06714-1221,3,23,female,0,0,0,0,0.957,0.011,0.001,0.031,35.73592299,139.7345493,71,35,ìy,2019/12/21,2,0,1,12.67115023,4
DSD06714-1221,4,40,female,0.001,0,0,0,0.461,0.533,0.002,0.003,35.73592299,139.7345493,48,35,ìy,2019/12/21,2,0,0,18.72597222,4
DSD06715-1221,1,22,female,0,0,0,0,0.002,0.994,0.003,0.001,35.73603527,139.7343796,57,35,ìy,2019/12/21,2,0,0,15.77476608,4
DSD06715-1221,2,24,female,0,0,0,0,0,0.91,0.089,0.001,35.73603527,139.7343796,54,35,ìy,2019/12/21,2,0,0,16.64919753,4
DSD06715-1221,3,52,female,0,0,0,0,0,0.807,0.193,0,35.73603527,139.7343796,50,35,ìy,2019/12/21,2,0,0,17.97833333,4
DSD06716-1221,1,68,male,0,0.001,0,0,0.003,0.994,0.001,0,35.73631956,139.7339679,79,35,ìy,2019/12/21,2,1,0,11.98964135,4
DSD06716-1221,2,22,female,0,0.003,0,0,0,0.997,0,0,35.73631956,139.7339679,70,35,ìy,2019/12/21,2,0,0,12.85166667,4
DSD06717-1221,1,33,female,0,0,0,0,0,0.999,0.001,0,35.73652354,139.7336796,189,35,ìy,2019/12/21,2,0,0,4.78191358,4
DSD06717-1221,2,27,female,0.001,0.001,0,0,0,0.952,0.046,0,35.73652354,139.7336796,130,35,ìy,2019/12/21,2,0,0,6.936282051,4
DSD06717-1221,3,19,female,0,0,0,0,0.003,0.99,0.007,0,35.73652354,139.7336796,106,35,ìy,2019/12/21,2,0,0,8.498836478,4
DSD06717-1221,4,23,female,0,0,0,0,0,0.987,0,0.012,35.73652354,139.7336796,65,35,ìy,2019/12/21,2,0,0,13.8375641,4
DSD06718-1221,1,53,female,0,0.001,0,0,0,0.981,0.017,0.001,35.73663815,139.7335317,132,35,ìy,2019/12/21,2,0,0,6.831717172,4
DSD06718-1221,2,30,male,0,0,0,0,0,0.654,0,0.345,35.73663815,139.7335317,128,35,ìy,2019/12/21,2,1,0,7.413255208,4
DSD06718-1221,3,39,male,0,0,0,0,0,0.999,0,0.001,35.73663815,139.7335317,99,35,ìy,2019/12/21,2,1,0,9.57456229,4
DSD06718-1221,4,32,male,0,0,0,0,0,0.833,0,0.167,35.73663815,139.7335317,73,35,ìy,2019/12/21,2,1,0,12.97221461,4
