filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,male_tf,happy_tf,kao,distance,èÍèä
DSD06639-1221,8,25,male,0,0.001,0,0,0.017,0.979,0.004,0,35.67153829,139.7033004,77,35,ìy,2019/12/21,2,1,0,161.9,12.30015152,2
DSD06639-1221,9,32,male,0,0,0,0,0,0.887,0.112,0,35.67153829,139.7033004,73,35,ìy,2019/12/21,2,1,0,161.9,12.97221461,2
DSD06639-1221,10,19,male,0,0.005,0,0,0.648,0.346,0,0,35.67153829,139.7033004,72,35,ìy,2019/12/21,2,1,1,161.9,13.15189815,2
DSD06639-1221,11,15,female,0,0,0,0,0,0.987,0.004,0.008,35.67153829,139.7033004,66,35,ìy,2019/12/21,2,0,0,153.8,13.62843434,2
DSD06639-1221,12,30,male,0,0,0,0,0,1,0,0,35.67153829,139.7033004,62,35,ìy,2019/12/21,2,1,0,161.9,15.26752688,2
DSD06639-1221,13,28,male,0,0,0,0,0,0.999,0.001,0,35.67153829,139.7033004,58,35,ìy,2019/12/21,2,1,0,161.9,16.31804598,2
DSD06639-1221,14,22,male,0.034,0.001,0.001,0,0.002,0.956,0.006,0,35.67153829,139.7033004,52,35,ìy,2019/12/21,2,1,0,161.9,18.19685897,2
DSD06639-1221,15,24,female,0,0,0,0,0,0.991,0,0.009,35.67153829,139.7033004,49,35,ìy,2019/12/21,2,0,0,153.8,18.34452381,2
DSD06639-1221,16,16,female,0,0.001,0,0,0.84,0.158,0,0,35.67153829,139.7033004,48,35,ìy,2019/12/21,2,0,1,153.8,18.72597222,2
DSD06639-1221,17,37,male,0,0,0,0,1,0,0,0,35.67153829,139.7033004,45,35,ìy,2019/12/21,2,1,1,161.9,21.02203704,2
DSD06639-1221,18,22,female,0,0,0,0,0,0.985,0,0.014,35.67153829,139.7033004,42,35,ìy,2019/12/21,2,0,0,153.8,21.39611111,2
DSD06639-1221,19,23,female,0.002,0.002,0,0,0,0.981,0.015,0,35.67153829,139.7033004,40,35,ìy,2019/12/21,2,0,0,153.8,22.46416667,2
DSD06639-1221,20,19,female,0,0.001,0,0.006,0.024,0.758,0.009,0.202,35.67153829,139.7033004,38,35,ìy,2019/12/21,2,0,0,153.8,23.64464912,2
DSD06639-1221,21,44,male,0,0,0,0,0.018,0.981,0,0,35.67153829,139.7033004,36,35,ìy,2019/12/21,2,1,0,161.9,26.2687963,2
DSD06640-1221,1,30,female,0.001,0.009,0,0,0.01,0.977,0.002,0.001,35.67151419,139.7034562,424,35,ìy,2019/12/21,2,0,0,153.8,2.150959119,2
DSD06640-1221,2,44,female,0,0,0,0,0,0.917,0.082,0,35.67151419,139.7034562,228,35,ìy,2019/12/21,2,0,0,153.8,3.96994152,2
DSD06640-1221,3,16,female,0,0,0,0,0,0.991,0.009,0,35.67151419,139.7034562,174,35,ìy,2019/12/21,2,0,0,153.8,5.191130268,2
DSD06640-1221,5,17,male,0,0,0,0,0.303,0.697,0,0,35.67151419,139.7034562,69,35,ìy,2019/12/21,2,1,0,161.9,13.72219807,2
DSD06640-1221,6,22,female,0,0.001,0,0,0,0.969,0.029,0,35.67151419,139.7034562,64,35,ìy,2019/12/21,2,0,0,153.8,14.05322917,2
