filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,happy_tf,male_tf,distance,ójì˙_tf,,ä¥èÓ,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,,150+,,,,,
A7300010,4,8,female,0,0,0,0,0,0.854,0.145,0.001,35.65965233,139.6997831,114,34,ì˙,2019/12/8,1,0,0,7.679,1,,,0,0,0,0,0,1,0,0,,554,60,10.83%,,,
A7300010,5,26,female,0,0,0,0,0,0.995,0.004,0,35.65965233,139.6997831,113,34,ì˙,2019/12/8,1,0,0,7.747,1,,,0,0,0,0,0,1,0,0,,544,51,9.38%,,,
A7300010,6,28,female,0,0,0,0,0,0.998,0.002,0,35.65965233,139.6997831,105,34,ì˙,2019/12/8,1,0,0,8.334,1,,,0,0,0,0,0,1,0,0,,293,25,8.53%,,,
A7300011,3,15,female,0,0,0,0,0,1,0,0,35.65967303,139.6995779,122,34,ì˙,2019/12/8,1,0,0,7.178,1,,,0,0,0,0,0,1,0,0,,416,55,13.22%,,,
A7300011-1221-1,2,54,female,0,0.002,0,0,0.144,0.847,0.008,0,35.65932556,139.6997536,133,34,ìy,2019/12/21,1,0,0,6.587,1,,,0,0,0,0,0,1,0,0,,404,47,11.63%,,,
A7300012,2,23,female,0,0,0,0,0,0.994,0.006,0,35.65962778,139.6994325,54,34,ì˙,2019/12/8,1,0,0,16.174,1,,,0,0,0,0,0,1,0,0,,322,37,11.49%,,,
A7300012,3,14,female,0,0,0,0,0,0.971,0.029,0,35.65962778,139.6994325,50,34,ì˙,2019/12/8,1,0,0,17.465,1,,,0,0,0,0,0,1,0,0,,391,31,7.93%,,,
A7300012,4,34,female,0,0.002,0,0,0,0.986,0.011,0,35.65962778,139.6994325,48,34,ì˙,2019/12/8,1,0,0,18.191,1,,,0,0,0,0,0,1,0,0,,296,22,7.43%,,,
A7300012,5,18,female,0.003,0,0,0,0,0.99,0.007,0,35.65962778,139.6994325,48,34,ì˙,2019/12/8,1,0,0,18.191,1,,,0,0,0,0,0,1,0,0,,284,30,10.56%,,,
A7300012,6,56,female,0,0,0,0,0,0.993,0.007,0,35.65962778,139.6994325,46,34,ì˙,2019/12/8,1,0,0,18.98,1,,,0,0,0,0,0,1,0,0,,244,22,9.02%,,,
A7300012,7,35,female,0.002,0,0,0,0.004,0.938,0.055,0,35.65962778,139.6994325,42,34,ì˙,2019/12/8,1,0,0,20.785,1,,,0,0,0,0,0,1,0,0,,180,21,11.67%,,,
A7300012,9,23,female,0,0,0,0,0,0.994,0.006,0,35.65962778,139.6994325,38,34,ì˙,2019/12/8,1,0,0,22.969,1,,,0,0,0,0,0,1,0,0,,239,22,9.21%,,,
