filename,order,age,gender,anger,comtempt,disgust,fear,happiness,neutral,sadness,surprise,Lat,Lon,âÊëúÉTÉCÉY,35mmä∑éZ,ójì˙,ì˙ït,éûä‘ë—,ìyì˙_tf,èÍèä
DSD06150-1218,1,30,female,0,0,0,0,0,0.999,0.001,0,35.65953778,139.7023639,38,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06151-1218,1,18,female,0,0,0,0,0,0.731,0.269,0,35.65942167,139.7021336,180,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06152-1218,1,25,male,0.004,0.004,0.001,0.001,0.022,0.96,0.004,0.005,35.65940445,139.7021758,196,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06156-1218,1,21,female,0,0,0,0,1,0,0,0,35.65943306,139.7021586,205,35,êÖ,2019/12/18,1,0,ã{âvç‚
DSD06232-1218,1,23,female,0,0,0,0,0.001,0.997,0.002,0,35.65971445,139.702225,52,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06233-1218,1,17,male,0,0,0,0,0,0.997,0.002,0.001,35.65963,139.7023075,49,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06234-1218,1,56,male,0,0,0,0,0.001,0.998,0,0.001,35.65955945,139.7023603,51,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06235-1218,1,28,male,0,0,0,0,0,0.987,0.012,0,35.65948833,139.7022886,252,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06238-1218,1,18,male,0,0,0,0,0,0.998,0.002,0,35.65943667,139.7024636,254,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06239-1218,1,22,female,0,0,0,0,0.003,0.995,0.002,0,35.65947667,139.7025019,96,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06242-1218,1,26,male,0.001,0,0,0,0,0.783,0.216,0,35.65945695,139.7024778,57,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06243-1218,1,44,male,0,0,0,0,0,0.91,0.088,0.001,35.65954667,139.7021747,346,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06244-1218,1,18,male,0,0.001,0,0,0.968,0.032,0,0,35.65952556,139.7021856,279,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06248-1218,1,19,female,0,0,0,0,0,0.994,0.006,0,35.65949472,139.7024819,36,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06250-1218,1,43,male,0.001,0.162,0,0,0,0.825,0.012,0,35.65937528,139.7025486,259,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06253-1218,1,46,male,0,0.001,0,0,0.003,0.605,0.391,0,35.65947508,139.7026478,37,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06254-1218,1,45,female,0,0,0,0,0,0.993,0.007,0,35.6597106,139.702292,332,35,êÖ,2019/12/18,2,0,ã{âvç‚
DSD06255-1218,1,28,female,0.001,0,0,0,0.788,0.143,0.067,0.001,35.6597106,139.702292,205,35,êÖ,2019/12/18,2,0,ã{âvç‚
A7300222,2,22,male,0,0,0,0,0,1,0,0,35.65961083,139.7022903,68,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300223,2,34,male,0,0,0,0,0,0.992,0.007,0,35.65961528,139.7023628,57,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300224,2,42,male,0.001,0.002,0,0,0.001,0.835,0.161,0,35.65951389,139.7022131,77,43,ì˙,2019/12/8,1,1,ã{âvç‚
A7300225,2,24,male,0,0.001,0.001,0,0.136,0.175,0.002,0.684,35.659825,139.7022933,54,70,ì˙,2019/12/8,1,1,ã{âvç‚
A7300227,2,24,female,0,0,0,0,1,0,0,0,35.65977528,139.70232,58,49,ì˙,2019/12/8,1,1,ã{âvç‚
A7300228,2,34,male,0,0.008,0,0,0.832,0.158,0.001,0,35.65941583,139.7022667,97,62,ì˙,2019/12/8,1,1,ã{âvç‚
A7300229,2,31,female,0.001,0.002,0.017,0.001,0,0.667,0.309,0.002,35.65973722,139.7025075,117,69,ì˙,2019/12/8,1,1,ã{âvç‚
